Date,Close/Last,Volume,Open,High,Low
12/21/2020,$1197.26,1517320,$1164.98,$1205.19,$1145
12/18/2020,$1170.96,1114550,$1181.84,$1184.23,$1161.12
12/17/2020,$1180,2295103,$1163,$1206.895,$1150.4306
12/16/2020,$1157.31,3092660,$1072.61,$1164.1663,$1071.69
12/15/2020,$1074.1,804220,$1054.19,$1086.21,$1050.66
12/14/2020,$1059.17,1131874,$1050,$1079.27,$1039.16
12/11/2020,$1057.87,738882,$1064.98,$1075,$1038
12/10/2020,$1067.37,980499,$1017.5,$1073,$1017
12/09/2020,$1038.19,1430012,$1100,$1102.94,$1028.42
12/08/2020,$1102.09,1087093,$1088.97,$1107,$1083
12/07/2020,$1084.4,934661,$1058.01,$1088,$1056.0372
12/04/2020,$1053.89,852652,$1068,$1079.27,$1051.11
12/03/2020,$1062.68,1515633,$1082,$1112.4074,$1061.3
12/02/2020,$1079.44,1252311,$1051,$1083.37,$1036.01
12/01/2020,$1069.06,1733518,$1080.38,$1087.7299,$1051
11/30/2020,$1090.38,2604854,$1045,$1094.7,$1035
11/27/2020,$1034.39,1185400,$1028.24,$1044,$1009.26
11/25/2020,$1019.52,1591670,$976.42,$1021.11,$975
11/24/2020,$971.24,863997,$978,$980.1,$963
11/23/2020,$980.01,1200739,$988.5,$989.69,$963.19
11/20/2020,$988.51,1684729,$976,$998,$973
11/19/2020,$966.77,1898191,$945.99,$981.5,$937.27
11/18/2020,$931.43,1000023,$915,$936,$905.15
11/17/2020,$914.02,760239,$925,$929.8,$905.17
11/16/2020,$919.22,1521653,$890.11,$919.39,$880
11/13/2020,$918.3,869348,$934.54,$936.91,$908.4011
11/12/2020,$925.8,1225823,$946,$954.79,$921.73
11/11/2020,$947.18,1733116,$904,$948.16,$898.6029
11/10/2020,$885.76,2936464,$912,$924,$875
11/09/2020,$902.6,3915800,$990,$991.7188,$900
11/06/2020,$1045,1153618,$1031,$1045.08,$1003.0794
11/05/2020,$1036.5,1261083,$1027,$1038.7968,$1003.01
11/04/2020,$996,1592250,$976,$1002.67,$955
11/03/2020,$941.72,1110814,$923,$952.91,$910.54
11/02/2020,$914.99,1523432,$934.57,$954.2862,$898.882
10/30/2020,$925.43,2677709,$973.9,$987.2961,$906.22
10/29/2020,$977,3466825,$1052.58,$1054.56,$975
10/28/2020,$1026.71,1677406,$1058.19,$1067.09,$1016.83
10/27/2020,$1082.89,1683073,$1066.93,$1088,$1057.416
10/26/2020,$1038.05,1413523,$1019,$1044.3882,$1008.06
10/23/2020,$1026.22,1033623,$1001.5,$1026.96,$996.2701
10/22/2020,$1007.07,983229,$1026.75,$1033.915,$990.5
10/21/2020,$1022.01,994395,$1054.94,$1068.96,$1018.02
10/20/2020,$1056.49,893206,$1068,$1078.4182,$1046.04
10/19/2020,$1069,975128,$1070.78,$1090.2,$1054.8101
10/16/2020,$1067.21,1069782,$1086.01,$1103.5,$1063.81
10/15/2020,$1078.3,1062872,$1058,$1082.7499,$1044.03
10/14/2020,$1082.12,1203587,$1111,$1114.33,$1066.59
10/13/2020,$1106.59,1121842,$1095.99,$1109.8862,$1086.3649
10/12/2020,$1090,1323818,$1105.13,$1130,$1085.3001
10/09/2020,$1096,1127654,$1072.58,$1098.8773,$1070
10/08/2020,$1069.21,1078788,$1081.07,$1086.77,$1056.23
10/07/2020,$1073.43,1252493,$1059.18,$1077.949,$1048.16
10/06/2020,$1041.25,1452399,$1068,$1081.9999,$1030.01
10/05/2020,$1065.53,1568595,$1035.99,$1065.89,$1014.38
10/02/2020,$1028.99,1328222,$1020.5,$1054,$1017.01
10/01/2020,$1054.43,1754401,$1030.63,$1063.41,$1026.15
09/30/2020,$1022.97,1931324,$1037.69,$1043,$1014.35
09/29/2020,$1025.7,3122027,$969.58,$1030,$961.4032
09/28/2020,$966.5,1870883,$970.01,$983.7199,$951
09/25/2020,$960.92,1980814,$919.71,$961.25,$911.19
09/24/2020,$908.61,1644113,$909.55,$927,$894.1801
09/23/2020,$918.81,1830203,$946.98,$953.97,$910.7
09/22/2020,$954.25,2490097,$940.35,$956.86,$904.72
09/21/2020,$927.89,2229156,$883.06,$929.11,$881
09/18/2020,$901.34,2437461,$883.99,$908.37,$866.8459
09/17/2020,$870.76,3758836,$858.86,$874.66,$839.4
09/16/2020,$885.18,3638346,$938,$939,$884.54
09/15/2020,$929.39,1833182,$931.83,$953,$923
09/14/2020,$931.83,1662035,$927.73,$946.8799,$919.13
09/11/2020,$914.5,1642273,$948,$948,$897.5
09/10/2020,$934.17,1721149,$970,$975,$925.45
09/09/2020,$949.31,1810544,$955,$970,$932
09/08/2020,$917.4,2104877,$920.91,$953.9999,$906.36
09/04/2020,$973.02,3470103,$996.19,$1018.98,$896.48
09/03/2020,$1015.7,2931682,$1044.36,$1058.7,$993.86
09/02/2020,$1074.59,2706534,$1142,$1145,$1062.5
09/01/2020,$1134.32,2087189,$1075,$1146.91,$1073.94
08/31/2020,$1066.42,1126367,$1048.51,$1073.92,$1035
08/28/2020,$1042.06,1338974,$1067.05,$1079.02,$1039.45
08/27/2020,$1053.5,1553743,$1081.77,$1089.33,$1049.33
08/26/2020,$1089.33,2806825,$1049,$1115.99,$1046.21
08/25/2020,$1037.19,1691866,$991,$1038.8,$991
08/24/2020,$999.32,1820704,$1032,$1033.8307,$988.8801
08/21/2020,$1021.12,1287376,$1036.02,$1046.98,$1015
08/20/2020,$1039.62,1332432,$1004.1,$1043.6,$999.1892
08/19/2020,$1009.11,1232231,$1021.99,$1042.96,$1003
08/18/2020,$1024.71,1287632,$1021,$1026.98,$993.17
08/17/2020,$1012.96,1269095,$999,$1019.64,$995.5139
08/14/2020,$987.9,1599136,$1002.3,$1007,$978.5
08/13/2020,$999.9,1401803,$1005,$1023.975,$987
08/12/2020,$991,1706388,$983.93,$1007.86,$980
08/11/2020,$971.99,2270909,$999.59,$1015,$964.74
08/10/2020,$1005.56,2405238,$1055,$1064,$987.41
08/07/2020,$1053.12,1634507,$1080,$1092.87,$1030.2723
08/06/2020,$1088.13,1287198,$1093.3,$1099.71,$1068.7565
08/05/2020,$1094.65,1555386,$1078.99,$1105,$1070.11
08/04/2020,$1080,1618354,$1074.01,$1082.8784,$1054.0001
08/03/2020,$1083.05,2649537,$1032,$1089.25,$1028.96
07/31/2020,$1024,2335705,$1065,$1067.6765,$1012.11
07/30/2020,$1048.84,2783858,$1048.3,$1062.13,$1003.005
07/29/2020,$1053.59,6492346,$1107.38,$1107.92,$1038
07/28/2020,$985,3847359,$1007.09,$1014.905,$975.17
07/27/2020,$976.39,2689897,$947.57,$977.46,$935.14
07/24/2020,$929.81,2418790,$906,$941.84,$883.18
07/23/2020,$928.41,3017296,$966.82,$979.99,$911.12
07/22/2020,$957.33,2182112,$964.73,$980.57,$940
07/21/2020,$952.83,3038571,$1022.22,$1024.98,$948.21
07/20/2020,$1009.39,3161498,$929,$1011.81,$918.21
07/17/2020,$928.13,2041737,$932.2,$940.9699,$906.05
07/16/2020,$925.49,2086074,$942.01,$952.8207,$915.4
07/15/2020,$959.45,2338463,$974,$980,$934
07/14/2020,$974.41,3591459,$970,$998,$901.74
07/13/2020,$968.75,3900923,$1043,$1074.9761,$935.14
07/10/2020,$1031.86,1708429,$1040.02,$1044.8499,$1018.1301
07/09/2020,$1040.02,2865333,$1025.01,$1052.2499,$1012.94
07/08/2020,$1017.3,2057206,$1027.26,$1035.3024,$1002.5452
07/07/2020,$1013.99,3290913,$985,$1040,$973
07/06/2020,$986.77,4350744,$1052.49,$1059,$983.6482
07/02/2020,$1029.97,3459351,$1034.99,$1059.44,$1022
07/01/2020,$1016.64,3448277,$948.01,$1017.89,$948.01
06/30/2020,$949.2,2749070,$925.5,$958.76,$922
06/29/2020,$922.42,2740530,$913.99,$923,$876.43
06/26/2020,$910,2720761,$916,$927.045,$894
06/25/2020,$916.32,2419175,$886.56,$917.6,$873.2447
06/24/2020,$897,3419980,$910.01,$924,$868
06/23/2020,$911.34,2430404,$919.19,$928,$907.26
06/22/2020,$904.81,2395619,$895.12,$909.8698,$892.1095
06/19/2020,$881,4020317,$876,$895.56,$866
06/18/2020,$863.56,3085810,$832.5,$869.7,$830.5
06/17/2020,$817.36,1843052,$813,$827.4941,$810.59
06/16/2020,$805.76,2640415,$809,$816.7799,$787.5
06/15/2020,$805.47,4067580,$777,$807.39,$769.865
06/12/2020,$742.58,2123275,$739.34,$745,$713.23
06/11/2020,$725.12,2288043,$733.34,$765.52,$724
06/10/2020,$743.64,1492054,$757,$758.5,$732.51
06/09/2020,$741.7,1517044,$743.91,$754.8,$733.25
